Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg
192.168.10.12-208.75.89.4-123-123-17,192.168.10.12,123,208.75.89.4,123,17,03-07-2017 13:57,73069201,8,8,384,384,48,48,48,0,48,48,48,0,10.51058434,0.218970507,4871280.067,1.50E+07,5.89E+07,77412,7.30E+07,1.04E+07,2.14E+07,5.90E+07,1996473,7.30E+07,1.04E+07,2.14E+07,5.90E+07,1996528,0,0,0,0,64,64,0.109485254,0.109485254,48,48,48,0,0,0,0,0,0,0,0,0,0,1,48,48,48
192.168.10.12-72.5.72.15-123-123-17,192.168.10.12,123,72.5.72.15,123,17,03-07-2017 13:57,74071787,8,8,384,384,48,48,48,0,48,48,48,0,10.36832013,0.216006669,4938119.133,1.50E+07,5.89E+07,80678,7.40E+07,1.06E+07,2.14E+07,5.90E+07,1992945,7.40E+07,1.06E+07,2.14E+07,5.90E+07,1992833,0,0,0,0,64,64,0.108003335,0.108003335,48,48,48,0,0,0,0,0,0,0,0,0,0,1,48,48,48
192.168.10.12-208.79.89.249-123-123-17,192.168.10.12,123,208.79.89.249,123,17,03-07-2017 13:57,74071364,8,8,384,384,48,48,48,0,48,48,48,0,10.36837934,0.216007903,4938090.933,1.50E+07,5.89E+07,77702,7.40E+07,1.06E+07,2.14E+07,5.90E+07,1989384,7.40E+07,1.06E+07,2.14E+07,5.90E+07,1988835,0,0,0,0,64,64,0.108003951,0.108003951,48,48,48,0,0,0,0,0,0,0,0,0,0,1,48,48,48
192.168.10.50-224.0.0.251-5353-5353-17,192.168.10.50,5353,224.0.0.251,5353,17,03-07-2017 13:57,63509408,291,0,22687,0,157,37,77.96219931,44.47837848,0,0,0,0,357.2226653,4.581998308,218997.9586,1604908.489,2.22E+07,0,6.35E+07,218997.9586,1604908.489,2.22E+07,0,0,0,0,0,0,0,0,0,0,2328,0,4.581998308,0,37,157,77.96219931,44.47837848,1978.326152,0,0,0,0,0,0,0,0,0,77.96219931,77.96219931,0
192.168.10.50-192.168.10.3-56772-3268-6,192.168.10.50,56772,192.168.10.3,3268,6,03-07-2017 13:57,96404610,58,33,12242,8238,1337,0,211.0689655,287.2534099,3069,0,249.6363636,619.0707158,212.4379737,0.943938262,1071162.333,6080703.784,5.40E+07,1,9.64E+07,1691308.947,7595800.474,5.40E+07,1,9.64E+07,3012638.688,1.00E+07,5.40E+07,2,30,30,0,0,1872,1072,0.60163098,0.342307282,0,3069,225.0549451,434.5951721,188872.9636,0,4,0,60,89,0,0,0,0.568965517,225.0549451,211.0689655,249.6363636
192.168.10.50-192.168.10.3-55726-389-6,192.168.10.50,55726,192.168.10.3,389,6,03-07-2017 13:57,96843647,106,65,18476,21550,1337,0,174.3018868,228.7009763,3069,0,331.5384615,423.6787579,413.3053767,1.765732759,569668.5118,4191469.615,5.07E+07,0,9.68E+07,922320.4476,5312277.694,5.07E+07,2,9.68E+07,1513180.953,6761124.247,5.07E+07,2,60,60,0,0,3408,2096,1.094547792,0.671184967,0,3069,234.0701754,325.1816972,105743.1362,0,4,0,120,169,0,0,0,0.613207547,234.0701754,174.3018868,331.5384615
192.168.10.17-91.189.89.199-123-123-17,192.168.10.17,123,91.189.89.199,123,17,03-07-2017 13:57,66094011,2,2,96,96,48,48,48,0,48,48,48,0,2.904953068,0.060519856,2.20E+07,3.80E+07,6.59E+07,94000,6.60E+07,6.60E+07,0,6.60E+07,6.60E+07,6.60E+07,6.60E+07,0,6.60E+07,6.60E+07,0,0,0,0,16,16,0.030259928,0.030259928,48,48,48,0,0,0,0,0,0,0,0,0,0,1,48,48,48
192.168.10.17-224.0.0.251-5353-5353-17,192.168.10.17,5353,224.0.0.251,5353,17,03-07-2017 13:57,87222640,267,0,33223,0,221,45,124.4307116,64.59967725,0,0,0,0,380.8988125,3.061131835,327904.6617,2527908.405,3.20E+07,0,8.72E+07,327904.6617,2527908.405,3.20E+07,0,0,0,0,0,0,0,0,0,0,2136,0,3.061131835,0,45,221,124.4307116,64.59967725,4173.118301,0,0,0,0,0,0,0,0,0,124.4307116,124.4307116,0
192.168.10.17-192.168.10.3-123-123-17,192.168.10.17,123,192.168.10.3,123,17,03-07-2017 13:57,84015887,14,14,672,672,48,48,48,0,48,48,48,0,15.99697448,0.333270302,3111699.519,1.33E+07,6.90E+07,3,8.40E+07,6462749.154,1.89E+07,6.90E+07,3,8.40E+07,6462752.385,1.89E+07,6.90E+07,3,0,0,0,0,112,112,0.166635151,0.166635151,48,48,48,0,0,0,0,0,0,0,0,0,0,1,48,48,48
192.168.10.17-91.189.91.157-123-123-17,192.168.10.17,123,91.189.91.157,123,17,03-07-2017 13:57,64036840,2,2,96,96,48,48,48,0,48,48,48,0,2.998274118,0.062464044,2.13E+07,3.69E+07,6.40E+07,36658,6.40E+07,6.40E+07,0,6.40E+07,6.40E+07,6.40E+07,6.40E+07,0,6.40E+07,6.40E+07,0,0,0,0,16,16,0.031232022,0.031232022,48,48,48,0,0,0,0,0,0,0,0,0,0,1,48,48,48
192.168.10.50-129.6.15.28-123-123-17,192.168.10.50,123,129.6.15.28,123,17,03-07-2017 13:57,68000558,9,9,432,432,48,48,48,0,48,48,48,0,12.70577809,0.26470371,4000032.824,1.34E+07,5.60E+07,30006,6.80E+07,8496311.75,1.92E+07,5.60E+07,973671,6.80E+07,8496287.875,1.92E+07,5.60E+07,973626,0,0,0,0,72,72,0.132351855,0.132351855,48,48,48,0,0,0,0,0,0,0,0,0,0,1,48,48,48
192.168.10.17-45.76.244.202-123-123-17,192.168.10.17,123,45.76.244.202,123,17,03-07-2017 13:57,67077016,7,7,336,336,48,48,48,0,48,48,48,0,10.01833475,0.208715307,5159770.462,1.56E+07,5.69E+07,77044,6.70E+07,1.12E+07,2.25E+07,5.70E+07,1999915,6.70E+07,1.12E+07,2.25E+07,5.70E+07,1999784,0,0,0,0,56,56,0.104357654,0.104357654,48,48,48,0,0,0,0,0,0,0,0,0,0,1,48,48,48
192.168.10.12-192.168.10.255-138-138-17,192.168.10.12,138,192.168.10.255,138,17,03-07-2017 13:57,42861781,156,0,30920,0,233,180,198.2051282,15.26612017,0,0,0,0,721.3885956,3.63960611,276527.6194,1247722.282,9713940,1,4.29E+07,276527.6194,1247722.282,9713940,1,0,0,0,0,0,0,0,0,0,1248,0,3.63960611,0,180,233,198.2051282,15.26612017,233.0544251,0,0,0,0,0,0,0,0,0,198.2051282,198.2051282,0
192.168.10.17-192.168.10.255-138-138-17,192.168.10.17,138,192.168.10.255,138,17,03-07-2017 13:57,26685477,33,0,7304,0,235,194,221.3333333,19.62725571,0,0,0,0,273.7069306,1.236627698,833921.1562,3408428.407,1.70E+07,1,2.67E+07,833921.1562,3408428.407,1.70E+07,1,0,0,0,0,0,0,0,0,0,264,0,1.236627698,0,194,235,221.3333333,19.62725571,385.2291667,0,0,0,0,0,0,0,0,0,221.3333333,221.3333333,0
192.168.10.17-67.162.205.205-123-123-17,192.168.10.17,123,67.162.205.205,123,17,03-07-2017 13:57,15079598,7,7,336,336,48,48,48,0,48,48,48,0,44.56352218,0.928406712,1159969.077,1448962.09,4920371,79460,1.50E+07,2499990,1224772.797,5000047,1999932,1.50E+07,2499699.833,1224809.369,4999831,1998211,0,0,0,0,56,56,0.464203356,0.464203356,48,48,48,0,0,0,0,0,0,0,0,0,0,1,48,48,48
192.168.10.50-208.75.89.4-123-123-17,192.168.10.50,123,208.75.89.4,123,17,03-07-2017 13:57,69043997,8,8,384,384,48,48,48,0,48,48,48,0,11.12334212,0.231736294,4602933.133,1.45E+07,5.69E+07,77628,6.90E+07,9852264.286,2.08E+07,5.70E+07,1969164,6.90E+07,9852326.571,2.08E+07,5.70E+07,1969081,0,0,0,0,64,64,0.115868147,0.115868147,48,48,48,0,0,0,0,0,0,0,0,0,0,1,48,48,48
192.168.10.50-204.2.134.163-123-123-17,192.168.10.50,123,204.2.134.163,123,17,03-07-2017 13:57,69074493,8,8,384,384,48,48,48,0,48,48,48,0,11.11843123,0.231633984,4604966.2,1.45E+07,5.69E+07,94319,6.90E+07,9854278.714,2.08E+07,5.70E+07,1983095,6.90E+07,9854267.571,2.08E+07,5.70E+07,1982794,0,0,0,0,64,64,0.115816992,0.115816992,48,48,48,0,0,0,0,0,0,0,0,0,0,1,48,48,48
192.168.10.50-152.2.133.52-123-123-17,192.168.10.50,123,152.2.133.52,123,17,03-07-2017 13:57,69032052,8,8,384,384,48,48,48,0,48,48,48,0,11.12526685,0.231776393,4602136.8,1.48E+07,5.80E+07,45331,6.90E+07,9855221,2.12E+07,5.80E+07,989826,6.90E+07,9855151.857,2.12E+07,5.80E+07,989193,0,0,0,0,64,64,0.115888196,0.115888196,48,48,48,0,0,0,0,0,0,0,0,0,0,1,48,48,48
192.168.10.50-45.127.112.2-123-123-17,192.168.10.50,123,45.127.112.2,123,17,03-07-2017 13:57,70024765,9,9,432,432,48,48,48,0,48,48,48,0,12.33849196,0.257051916,4119103.824,1.39E+07,5.80E+07,22112,7.00E+07,8750301.125,1.99E+07,5.80E+07,1010702,7.00E+07,8750293,1.99E+07,5.80E+07,1010499,0,0,0,0,72,72,0.128525958,0.128525958,48,48,48,0,0,0,0,0,0,0,0,0,0,1,48,48,48
192.168.10.50-192.168.10.3-123-123-17,192.168.10.50,123,192.168.10.3,123,17,03-07-2017 13:57,69986710,6,6,288,288,48,48,48,0,48,48,48,0,8.230133978,0.171461125,6362428.182,2.04E+07,6.80E+07,2,7.00E+07,1.40E+07,3.02E+07,6.80E+07,3,7.00E+07,1.40E+07,3.02E+07,6.80E+07,2,0,0,0,0,48,48,0.085730562,0.085730562,48,48,48,0,0,0,0,0,0,0,0,0,0,1,48,48,48
192.168.10.50-38.88.18.251-123-123-17,192.168.10.50,123,38.88.18.251,123,17,03-07-2017 13:57,70054879,8,8,384,384,48,48,48,0,48,48,48,0,10.96283387,0.228392372,4670325.267,1.45E+07,5.69E+07,88110,7.00E+07,9995245.571,2.07E+07,5.70E+07,1994281,7.00E+07,9995248.571,2.07E+07,5.70E+07,1994255,0,0,0,0,64,64,0.114196186,0.114196186,48,48,48,0,0,0,0,0,0,0,0,0,0,1,48,48,48
192.168.10.50-96.126.105.86-123-123-17,192.168.10.50,123,96.126.105.86,123,17,03-07-2017 13:57,70990710,8,7,384,336,48,48,48,0,48,48,48,0,10.14217212,0.211295253,5070765,1.56E+07,5.90E+07,23636,7.10E+07,1.01E+07,2.15E+07,5.90E+07,1975156,7.10E+07,1.18E+07,2.41E+07,6.10E+07,1975029,0,0,0,0,64,56,0.112690801,0.098604451,48,48,48,0,0,0,0,0,0,0,0,0,0,0.875,48,48,48
192.168.10.50-69.89.207.99-123-123-17,192.168.10.50,123,69.89.207.99,123,17,03-07-2017 13:57,69018971,8,8,384,384,48,48,48,0,48,48,48,0,11.1273754,0.231820321,4601264.733,1.42E+07,5.59E+07,52067,6.90E+07,9852401.429,2.04E+07,5.60E+07,1988914,6.90E+07,9852367.714,2.04E+07,5.60E+07,1988867,0,0,0,0,64,64,0.11591016,0.11591016,48,48,48,0,0,0,0,0,0,0,0,0,0,1,48,48,48
192.168.10.17-45.79.11.217-123-123-17,192.168.10.17,123,45.79.11.217,123,17,03-07-2017 13:58,67057571,7,7,336,336,48,48,48,0,48,48,48,0,10.02123981,0.208775829,5158274.692,1.56E+07,5.69E+07,57521,6.70E+07,1.12E+07,2.25E+07,5.70E+07,1999900,6.70E+07,1.12E+07,2.25E+07,5.70E+07,1999858,0,0,0,0,56,56,0.104387915,0.104387915,48,48,48,0,0,0,0,0,0,0,0,0,0,1,48,48,48
192.168.10.17-216.218.254.202-123-123-17,192.168.10.17,123,216.218.254.202,123,17,03-07-2017 13:58,66080783,7,7,336,336,48,48,48,0,48,48,48,0,10.16937103,0.211861896,5083137.154,1.53E+07,5.59E+07,80807,6.60E+07,1.10E+07,2.20E+07,5.60E+07,1999871,6.60E+07,1.10E+07,2.20E+07,5.60E+07,1999720,0,0,0,0,56,56,0.105930948,0.105930948,48,48,48,0,0,0,0,0,0,0,0,0,0,1,48,48,48
192.168.10.17-69.89.207.99-123-123-17,192.168.10.17,123,69.89.207.99,123,17,03-07-2017 13:58,68052232,7,7,336,336,48,48,48,0,48,48,48,0,9.874767958,0.205724332,5234787.077,1.59E+07,5.79E+07,52207,6.80E+07,1.13E+07,2.29E+07,5.80E+07,1999914,6.80E+07,1.13E+07,2.29E+07,5.80E+07,1999892,0,0,0,0,56,56,0.102862166,0.102862166,48,48,48,0,0,0,0,0,0,0,0,0,0,1,48,48,48
192.168.10.17-152.2.133.52-123-123-17,192.168.10.17,123,152.2.133.52,123,17,03-07-2017 13:57,82046048,8,8,384,384,48,48,48,0,48,48,48,0,9.360597112,0.19501244,5469736.533,1.49E+07,5.80E+07,45148,8.20E+07,1.17E+07,2.09E+07,5.80E+07,1999946,8.20E+07,1.17E+07,2.09E+07,5.80E+07,1999775,0,0,0,0,64,64,0.09750622,0.09750622,48,48,48,0,0,0,0,0,0,0,0,0,0,1,48,48,48
192.168.10.50-45.76.92.117-123-123-17,192.168.10.50,123,45.76.92.117,123,17,03-07-2017 13:57,75107449,8,7,384,336,48,48,48,0,48,48,48,0,9.586266204,0.199713879,5364817.786,1.55E+07,5.89E+07,111385,7.50E+07,1.07E+07,2.13E+07,5.90E+07,1983726,7.50E+07,1.25E+07,2.28E+07,5.90E+07,1984038,0,0,0,0,64,56,0.106514069,0.09319981,48,48,48,0,0,0,0,0,0,0,0,0,0,0.875,48,48,48
192.168.10.17-91.189.89.198-123-123-17,192.168.10.17,123,91.189.89.198,123,17,03-07-2017 13:58,64094083,2,2,96,96,48,48,48,0,48,48,48,0,2.995596333,0.062408257,2.14E+07,3.68E+07,6.39E+07,94123,6.40E+07,6.40E+07,0,6.40E+07,6.40E+07,6.40E+07,6.40E+07,0,6.40E+07,6.40E+07,0,0,0,0,16,16,0.031204128,0.031204128,48,48,48,0,0,0,0,0,0,0,0,0,0,1,48,48,48
192.168.10.17-96.126.105.86-123-123-17,192.168.10.17,123,96.126.105.86,123,17,03-07-2017 13:58,8023666,5,5,240,240,48,48,48,0,48,48,48,0,59.82302853,1.246313094,891518.4444,1028932.974,1976326,23607,7999930,1999982.5,93.13968005,2000076,1999863,7999726,1999931.5,471.9918785,2000567,1999454,0,0,0,0,40,40,0.623156547,0.623156547,48,48,48,0,0,0,0,0,0,0,0,0,0,1,48,48,48
192.168.10.50-67.162.205.205-123-123-17,192.168.10.50,123,67.162.205.205,123,17,03-07-2017 13:57,15065601,7,3,336,144,48,48,48,0,48,48,48,0,31.86066059,0.663763762,1673955.667,1522356.566,4906265,79834,1.50E+07,2497469,1220940.975,4989700,1994473,1.50E+07,7491083,3542582.346,9996067,4986099,0,0,0,0,56,24,0.464634634,0.199129129,48,48,48,0,0,0,0,0,0,0,0,0,0,0.428571429,48,48,48
192.168.10.17-208.79.89.249-123-123-17,192.168.10.17,123,208.79.89.249,123,17,03-07-2017 13:58,68077957,7,6,336,288,48,48,48,0,48,48,48,0,9.165962486,0.190957552,5673163.083,1.65E+07,5.79E+07,77932,6.80E+07,1.13E+07,2.29E+07,5.80E+07,1999921,6.80E+07,1.36E+07,2.48E+07,5.80E+07,1998940,0,0,0,0,56,48,0.102823297,0.088134255,48,48,48,0,0,0,0,0,0,0,0,0,0,0.857142857,48,48,48
192.168.10.17-199.199.208.25-123-123-17,192.168.10.17,123,199.199.208.25,123,17,03-07-2017 13:57,85050232,9,9,432,432,48,48,48,0,48,48,48,0,10.15870245,0.211639634,5002954.824,1.37E+07,5.59E+07,50256,8.50E+07,1.06E+07,1.91E+07,5.60E+07,1999871,8.50E+07,1.06E+07,1.91E+07,5.60E+07,1999754,0,0,0,0,72,72,0.105819817,0.105819817,48,48,48,0,0,0,0,0,0,0,0,0,0,1,48,48,48
192.168.10.17-208.75.89.4-123-123-17,192.168.10.17,123,208.75.89.4,123,17,03-07-2017 13:58,68077496,7,6,336,288,48,48,48,0,48,48,48,0,9.166024555,0.190958845,5673124.667,1.65E+07,5.79E+07,77446,6.80E+07,1.13E+07,2.29E+07,5.80E+07,1999898,6.80E+07,1.36E+07,2.48E+07,5.80E+07,1998891,0,0,0,0,56,48,0.102823993,0.088134851,48,48,48,0,0,0,0,0,0,0,0,0,0,0.857142857,48,48,48
192.168.10.17-204.2.134.163-123-123-17,192.168.10.17,123,204.2.134.163,123,17,03-07-2017 13:58,67099487,7,7,336,336,48,48,48,0,48,48,48,0,10.0149797,0.20864541,5161499,1.56E+07,5.69E+07,99621,6.70E+07,1.12E+07,2.25E+07,5.70E+07,1999871,6.70E+07,1.12E+07,2.25E+07,5.70E+07,1999818,0,0,0,0,56,56,0.104322705,0.104322705,48,48,48,0,0,0,0,0,0,0,0,0,0,1,48,48,48
192.168.10.17-208.75.88.4-123-123-17,192.168.10.17,123,208.75.88.4,123,17,03-07-2017 13:58,69078170,7,7,336,336,48,48,48,0,48,48,48,0,9.728109474,0.202668947,5313705.385,1.61E+07,5.89E+07,77460,6.90E+07,1.15E+07,2.33E+07,5.90E+07,1999883,6.90E+07,1.15E+07,2.33E+07,5.90E+07,1998849,0,0,0,0,56,56,0.101334474,0.101334474,48,48,48,0,0,0,0,0,0,0,0,0,0,1,48,48,48
192.168.10.17-129.6.15.28-123-123-17,192.168.10.17,123,129.6.15.28,123,17,03-07-2017 13:57,90030218,8,8,384,384,48,48,48,0,48,48,48,0,8.530469181,0.177718108,6002014.533,1.54E+07,5.80E+07,30101,9.00E+07,1.29E+07,2.13E+07,5.80E+07,1999883,9.00E+07,1.29E+07,2.13E+07,5.80E+07,1999759,0,0,0,0,64,64,0.088859054,0.088859054,48,48,48,0,0,0,0,0,0,0,0,0,0,1,48,48,48
192.168.10.25-224.0.0.251-5353-5353-17,192.168.10.25,5353,224.0.0.251,5353,17,03-07-2017 13:58,91997639,300,0,31752,0,227,42,105.84,58.83394011,0,0,0,0,345.1392921,3.260953251,307684.4114,2243201.117,3.20E+07,0,9.20E+07,307684.4114,2243201.117,3.20E+07,0,0,0,0,0,0,0,0,0,0,2400,0,3.260953251,0,42,227,105.84,58.83394011,3461.432508,0,0,0,0,0,0,0,0,0,105.84,105.84,0
192.168.10.17-38.88.18.251-123-123-17,192.168.10.17,123,38.88.18.251,123,17,03-07-2017 13:57,110090001,10,10,480,480,48,48,48,0,48,48,48,0,8.72013799,0.181669541,5794210.579,1.47E+07,6.19E+07,88516,1.10E+08,1.22E+07,2.01E+07,6.20E+07,1998927,1.10E+08,1.22E+07,2.01E+07,6.20E+07,1998899,0,0,0,0,80,80,0.090834771,0.090834771,48,48,48,0,0,0,0,0,0,0,0,0,0,1,48,48,48
192.168.10.17-45.76.92.117-123-123-17,192.168.10.17,123,45.76.92.117,123,17,03-07-2017 13:57,112111434,10,10,480,480,48,48,48,0,48,48,48,0,8.562908936,0.178393936,5900601.789,1.59E+07,6.39E+07,111430,1.12E+08,1.24E+07,2.19E+07,6.40E+07,1999889,1.12E+08,1.24E+07,2.19E+07,6.40E+07,1983499,0,0,0,0,80,80,0.089196968,0.089196968,48,48,48,0,0,0,0,0,0,0,0,0,0,1,48,48,48
